brand,age,km_class,price
Abarth,0.0,0-50tkm,
Abarth,0.0,50-100tkm,
Abarth,0.0,100-150tkm,
Abarth,0.0,150-200tkm,
Abarth,0.0,200-250tkm,
Abarth,0.0,250-300tkm,
Abarth,0.0,yli300tkm,
Abarth,1.0,0-50tkm,
Abarth,1.0,50-100tkm,
Abarth,1.0,100-150tkm,
Abarth,1.0,150-200tkm,
Abarth,1.0,200-250tkm,
Abarth,1.0,250-300tkm,
Abarth,1.0,yli300tkm,
Abarth,2.0,0-50tkm,
Abarth,2.0,50-100tkm,
Abarth,2.0,100-150tkm,
Abarth,2.0,150-200tkm,
Abarth,2.0,200-250tkm,
Abarth,2.0,250-300tkm,
Abarth,2.0,yli300tkm,
Abarth,3.0,0-50tkm,
Abarth,3.0,50-100tkm,
Abarth,3.0,100-150tkm,
Abarth,3.0,150-200tkm,
Abarth,3.0,200-250tkm,
Abarth,3.0,250-300tkm,
Abarth,3.0,yli300tkm,
Abarth,4.0,0-50tkm,
Abarth,4.0,50-100tkm,
Abarth,4.0,100-150tkm,
Abarth,4.0,150-200tkm,
Abarth,4.0,200-250tkm,
Abarth,4.0,250-300tkm,
Abarth,4.0,yli300tkm,
Abarth,5.0,0-50tkm,
Abarth,5.0,50-100tkm,
Abarth,5.0,100-150tkm,
Abarth,5.0,150-200tkm,
Abarth,5.0,200-250tkm,
Abarth,5.0,250-300tkm,
Abarth,5.0,yli300tkm,
Abarth,6.0,0-50tkm,
Abarth,6.0,50-100tkm,
Abarth,6.0,100-150tkm,
Abarth,6.0,150-200tkm,
Abarth,6.0,200-250tkm,
Abarth,6.0,250-300tkm,
Abarth,6.0,yli300tkm,
Abarth,7.0,0-50tkm,
Abarth,7.0,50-100tkm,
Abarth,7.0,100-150tkm,
Abarth,7.0,150-200tkm,
Abarth,7.0,200-250tkm,
Abarth,7.0,250-300tkm,
Abarth,7.0,yli300tkm,
Abarth,8.0,0-50tkm,
Abarth,8.0,50-100tkm,
Abarth,8.0,100-150tkm,
Abarth,8.0,150-200tkm,
Abarth,8.0,200-250tkm,
Abarth,8.0,250-300tkm,
Abarth,8.0,yli300tkm,
Abarth,9.0,0-50tkm,
Abarth,9.0,50-100tkm,
Abarth,9.0,100-150tkm,
Abarth,9.0,150-200tkm,
Abarth,9.0,200-250tkm,
Abarth,9.0,250-300tkm,
Abarth,9.0,yli300tkm,
Abarth,10.0,0-50tkm,
Abarth,10.0,50-100tkm,
Abarth,10.0,100-150tkm,
Abarth,10.0,150-200tkm,
Abarth,10.0,200-250tkm,
Abarth,10.0,250-300tkm,
Abarth,10.0,yli300tkm,
Abarth,11.0,0-50tkm,
Abarth,11.0,50-100tkm,
Abarth,11.0,100-150tkm,
Abarth,11.0,150-200tkm,
Abarth,11.0,200-250tkm,
Abarth,11.0,250-300tkm,
Abarth,11.0,yli300tkm,
Abarth,12.0,0-50tkm,
Abarth,12.0,50-100tkm,
Abarth,12.0,100-150tkm,13800.0
Abarth,12.0,150-200tkm,
Abarth,12.0,200-250tkm,
Abarth,12.0,250-300tkm,
Abarth,12.0,yli300tkm,
Abarth,13.0,0-50tkm,
Abarth,13.0,50-100tkm,
Abarth,13.0,100-150tkm,
Abarth,13.0,150-200tkm,
Abarth,13.0,200-250tkm,
Abarth,13.0,250-300tkm,
Abarth,13.0,yli300tkm,
Abarth,14.0,0-50tkm,
Abarth,14.0,50-100tkm,
Abarth,14.0,100-150tkm,
Abarth,14.0,150-200tkm,
Abarth,14.0,200-250tkm,
Abarth,14.0,250-300tkm,
Abarth,14.0,yli300tkm,
Abarth,15.0,0-50tkm,
Abarth,15.0,50-100tkm,
Abarth,15.0,100-150tkm,
Abarth,15.0,150-200tkm,
Abarth,15.0,200-250tkm,
Abarth,15.0,250-300tkm,
Abarth,15.0,yli300tkm,
Abarth,16.0,0-50tkm,
Abarth,16.0,50-100tkm,
Abarth,16.0,100-150tkm,
Abarth,16.0,150-200tkm,
Abarth,16.0,200-250tkm,
Abarth,16.0,250-300tkm,
Abarth,16.0,yli300tkm,
Abarth,17.0,0-50tkm,
Abarth,17.0,50-100tkm,
Abarth,17.0,100-150tkm,
Abarth,17.0,150-200tkm,
Abarth,17.0,200-250tkm,
Abarth,17.0,250-300tkm,
Abarth,17.0,yli300tkm,
Abarth,18.0,0-50tkm,
Abarth,18.0,50-100tkm,
Abarth,18.0,100-150tkm,
Abarth,18.0,150-200tkm,
Abarth,18.0,200-250tkm,
Abarth,18.0,250-300tkm,
Abarth,18.0,yli300tkm,
Abarth,19.0,0-50tkm,
Abarth,19.0,50-100tkm,
Abarth,19.0,100-150tkm,
Abarth,19.0,150-200tkm,
Abarth,19.0,200-250tkm,
Abarth,19.0,250-300tkm,
Abarth,19.0,yli300tkm,
Abarth,20.0,0-50tkm,
Abarth,20.0,50-100tkm,
Abarth,20.0,100-150tkm,
Abarth,20.0,150-200tkm,
Abarth,20.0,200-250tkm,
Abarth,20.0,250-300tkm,
Abarth,20.0,yli300tkm,
Alfa Romeo,0.0,0-50tkm,32880.0
Alfa Romeo,0.0,50-100tkm,
Alfa Romeo,0.0,100-150tkm,
Alfa Romeo,0.0,150-200tkm,
Alfa Romeo,0.0,200-250tkm,
Alfa Romeo,0.0,250-300tkm,
Alfa Romeo,0.0,yli300tkm,
Alfa Romeo,1.0,0-50tkm,31880.0
Alfa Romeo,1.0,50-100tkm,
Alfa Romeo,1.0,100-150tkm,
Alfa Romeo,1.0,150-200tkm,
Alfa Romeo,1.0,200-250tkm,
Alfa Romeo,1.0,250-300tkm,
Alfa Romeo,1.0,yli300tkm,
Alfa Romeo,2.0,0-50tkm,33895.0
Alfa Romeo,2.0,50-100tkm,
Alfa Romeo,2.0,100-150tkm,
Alfa Romeo,2.0,150-200tkm,
Alfa Romeo,2.0,200-250tkm,
Alfa Romeo,2.0,250-300tkm,
Alfa Romeo,2.0,yli300tkm,
Alfa Romeo,3.0,0-50tkm,
Alfa Romeo,3.0,50-100tkm,39440.0
Alfa Romeo,3.0,100-150tkm,
Alfa Romeo,3.0,150-200tkm,
Alfa Romeo,3.0,200-250tkm,
Alfa Romeo,3.0,250-300tkm,
Alfa Romeo,3.0,yli300tkm,
Alfa Romeo,4.0,0-50tkm,
Alfa Romeo,4.0,50-100tkm,
Alfa Romeo,4.0,100-150tkm,
Alfa Romeo,4.0,150-200tkm,
Alfa Romeo,4.0,200-250tkm,
Alfa Romeo,4.0,250-300tkm,
Alfa Romeo,4.0,yli300tkm,
Alfa Romeo,5.0,0-50tkm,
Alfa Romeo,5.0,50-100tkm,
Alfa Romeo,5.0,100-150tkm,
Alfa Romeo,5.0,150-200tkm,
Alfa Romeo,5.0,200-250tkm,
Alfa Romeo,5.0,250-300tkm,
Alfa Romeo,5.0,yli300tkm,
Alfa Romeo,6.0,0-50tkm,
Alfa Romeo,6.0,50-100tkm,32900.0
Alfa Romeo,6.0,100-150tkm,30350.0
Alfa Romeo,6.0,150-200tkm,24835.0
Alfa Romeo,6.0,200-250tkm,
Alfa Romeo,6.0,250-300tkm,
Alfa Romeo,6.0,yli300tkm,
Alfa Romeo,7.0,0-50tkm,
Alfa Romeo,7.0,50-100tkm,25195.0
Alfa Romeo,7.0,100-150tkm,28715.0
Alfa Romeo,7.0,150-200tkm,21195.0
Alfa Romeo,7.0,200-250tkm,22895.0
Alfa Romeo,7.0,250-300tkm,
Alfa Romeo,7.0,yli300tkm,
Alfa Romeo,8.0,0-50tkm,
Alfa Romeo,8.0,50-100tkm,
Alfa Romeo,8.0,100-150tkm,12800.0
Alfa Romeo,8.0,150-200tkm,
Alfa Romeo,8.0,200-250tkm,
Alfa Romeo,8.0,250-300tkm,
Alfa Romeo,8.0,yli300tkm,
Alfa Romeo,9.0,0-50tkm,
Alfa Romeo,9.0,50-100tkm,
Alfa Romeo,9.0,100-150tkm,11540.0
Alfa Romeo,9.0,150-200tkm,
Alfa Romeo,9.0,200-250tkm,
Alfa Romeo,9.0,250-300tkm,
Alfa Romeo,9.0,yli300tkm,
Alfa Romeo,10.0,0-50tkm,
Alfa Romeo,10.0,50-100tkm,
Alfa Romeo,10.0,100-150tkm,
Alfa Romeo,10.0,150-200tkm,
Alfa Romeo,10.0,200-250tkm,
Alfa Romeo,10.0,250-300tkm,
Alfa Romeo,10.0,yli300tkm,
Alfa Romeo,11.0,0-50tkm,
Alfa Romeo,11.0,50-100tkm,
Alfa Romeo,11.0,100-150tkm,8445.0
Alfa Romeo,11.0,150-200tkm,
Alfa Romeo,11.0,200-250tkm,
Alfa Romeo,11.0,250-300tkm,
Alfa Romeo,11.0,yli300tkm,
Alfa Romeo,12.0,0-50tkm,
Alfa Romeo,12.0,50-100tkm,12470.0
Alfa Romeo,12.0,100-150tkm,7900.0
Alfa Romeo,12.0,150-200tkm,
Alfa Romeo,12.0,200-250tkm,
Alfa Romeo,12.0,250-300tkm,
Alfa Romeo,12.0,yli300tkm,
Alfa Romeo,13.0,0-50tkm,
Alfa Romeo,13.0,50-100tkm,9400.0
Alfa Romeo,13.0,100-150tkm,7200.0
Alfa Romeo,13.0,150-200tkm,6400.0
Alfa Romeo,13.0,200-250tkm,
Alfa Romeo,13.0,250-300tkm,
Alfa Romeo,13.0,yli300tkm,
Alfa Romeo,14.0,0-50tkm,
Alfa Romeo,14.0,50-100tkm,
Alfa Romeo,14.0,100-150tkm,6290.0
Alfa Romeo,14.0,150-200tkm,
Alfa Romeo,14.0,200-250tkm,
Alfa Romeo,14.0,250-300tkm,
Alfa Romeo,14.0,yli300tkm,
Alfa Romeo,15.0,0-50tkm,
Alfa Romeo,15.0,50-100tkm,
Alfa Romeo,15.0,100-150tkm,
Alfa Romeo,15.0,150-200tkm,5640.0
Alfa Romeo,15.0,200-250tkm,5900.0
Alfa Romeo,15.0,250-300tkm,
Alfa Romeo,15.0,yli300tkm,
Alfa Romeo,16.0,0-50tkm,
Alfa Romeo,16.0,50-100tkm,
Alfa Romeo,16.0,100-150tkm,
Alfa Romeo,16.0,150-200tkm,
Alfa Romeo,16.0,200-250tkm,
Alfa Romeo,16.0,250-300tkm,
Alfa Romeo,16.0,yli300tkm,
Alfa Romeo,17.0,0-50tkm,
Alfa Romeo,17.0,50-100tkm,
Alfa Romeo,17.0,100-150tkm,
Alfa Romeo,17.0,150-200tkm,5900.0
Alfa Romeo,17.0,200-250tkm,3900.0
Alfa Romeo,17.0,250-300tkm,
Alfa Romeo,17.0,yli300tkm,
Alfa Romeo,18.0,0-50tkm,
Alfa Romeo,18.0,50-100tkm,
Alfa Romeo,18.0,100-150tkm,
Alfa Romeo,18.0,150-200tkm,
Alfa Romeo,18.0,200-250tkm,2400.0
Alfa Romeo,18.0,250-300tkm,
Alfa Romeo,18.0,yli300tkm,
Alfa Romeo,19.0,0-50tkm,
Alfa Romeo,19.0,50-100tkm,
Alfa Romeo,19.0,100-150tkm,
Alfa Romeo,19.0,150-200tkm,
Alfa Romeo,19.0,200-250tkm,
Alfa Romeo,19.0,250-300tkm,
Alfa Romeo,19.0,yli300tkm,
Alfa Romeo,20.0,0-50tkm,
Alfa Romeo,20.0,50-100tkm,
Alfa Romeo,20.0,100-150tkm,
Alfa Romeo,20.0,150-200tkm,
Alfa Romeo,20.0,200-250tkm,
