brand;50000;100000;150000;200000;250000;300000;yli300000
default;1.00;0.90;0.80;0.70;0.60;0.50;0.45
Toyota;1.00;0.96;0.95;0.82;0.76;0.74;0.70
Volkswagen;1.00;0.85;0.80;0.75;0.76;0.68;0.60
BMW;1.00;0.78;0.71;0.59;0.51;0.51;0.45
Mercedes-Benz;1.00;0.88;0.71;0.68;0.63;0.56;0.50
Volvo;1.00;0.95;0.88;0.82;0.74;0.67;0.60
Audi;1.00;0.86;0.65;0.60;0.56;0.66;0.55
Skoda;1.00;0.95;0.90;0.86;0.78;0.68;0.60
Tesla;1.00;0.89;0.80;0.73;0.55;0.50;0.45
Ford;1.00;0.88;0.85;0.90;0.79;0.78;0.70
Kia;1.00;0.92;0.88;0.80;0.75;0.70;0.65
Hyundai;1.00;0.92;0.88;0.80;0.75;0.70;0.65
Opel;1.00;0.90;0.85;0.75;0.70;0.65;0.60
Peugeot;1.00;0.90;0.85;0.75;0.70;0.65;0.60
Citroen;1.00;0.88;0.92;0.94;0.72;0.59;0.55
Renault;1.00;0.90;0.85;0.75;0.70;0.65;0.60
Seat;1.00;0.85;0.80;0.75;0.76;0.68;0.60
Mazda;1.00;0.92;0.88;0.80;0.75;0.70;0.65
Nissan;1.00;0.92;0.88;0.80;0.75;0.70;0.65
Porsche;1.00;0.85;0.75;0.65;0.60;0.55;0.50
Jaguar;1.00;0.85;0.75;0.65;0.60;0.55;0.50
Land Rover;1.00;0.85;0.75;0.65;0.60;0.55;0.50
Alfa Romeo;1.00;0.85;0.75;0.65;0.60;0.55;0.50
Fiat;1.00;0.93;0.89;0.77;0.75;0.90;0.85
Mini;1.00;0.85;0.75;0.65;0.60;0.55;0.50
Subaru;1.00;0.92;0.88;0.80;0.75;0.70;0.65
Suzuki;1.00;0.92;0.88;0.80;0.75;0.70;0.65
Mitsubishi;1.00;0.92;0.88;0.80;0.75;0.70;0.65
Honda;1.00;0.98;0.92;0.89;0.90;0.85;0.80
Lexus;1.00;0.92;0.88;0.80;0.75;0.70;0.65
Bentley;1.00;0.70;0.65;0.60;0.55;0.50;0.45
Dodge;1.00;0.80;0.47;0.37;0.20;0.03;0.03
Chevrolet;1.00;0.25;0.14;0.10;0.10;0.17;0.15
Dacia;1.00;0.93;0.98;0.83;0.92;0.86;0.80
Cupra;1.00;1.00;0.88;0.80;0.75;0.70;0.65
DS;1.00;0.86;0.72;0.65;0.60;0.55;0.50
Ferrari;1.00;0.94;0.90;0.85;0.80;0.75;0.70
BYD;1.00;0.89;0.80;0.73;0.55;0.50;0.45
Buick;1.00;0.90;0.85;0.75;0.70;0.65;0.60
GMC;1.00;0.90;0.85;0.75;0.70;0.65;0.60
Hummer;1.00;0.85;0.75;0.65;0.60;0.55;0.50
Infiniti;1.00;0.90;0.85;0.75;0.70;0.65;0.60
Lancia;1.00;0.90;0.85;0.75;0.70;0.65;0.60
Lincoln;1.00;0.90;0.85;0.75;0.70;0.65;0.60
Lotus;1.00;0.85;0.75;0.65;0.60;0.55;0.50
Maybach;1.00;0.85;0.75;0.65;0.60;0.55;0.50
McLaren;1.00;0.85;0.75;0.65;0.60;0.55;0.50
Pontiac;1.00;0.90;0.85;0.75;0.70;0.65;0.60
Rolls-Royce;1.00;0.85;0.75;0.65;0.60;0.55;0.50
Saab;1.00;0.90;0.85;0.75;0.70;0.65;0.60
SRT;1.00;0.85;0.75;0.65;0.60;0.55;0.50 
