brand,age_group,km_class,factor
Alfa Romeo,0-2v,0-50tkm,1.0
Aston Martin,3-5v,0-50tkm,1.0
Aston Martin,yli8v,0-50tkm,1.0
Aston Martin,yli8v,50-100tkm,0.8
Audi,0-2v,0-50tkm,1.0
Audi,0-2v,50-100tkm,0.95
Audi,0-2v,100-150tkm,0.69
Audi,0-2v,150-200tkm,0.6
Audi,3-5v,0-50tkm,1.0
Audi,3-5v,50-100tkm,0.98
Audi,3-5v,100-150tkm,0.97
Audi,3-5v,150-200tkm,0.9
Audi,3-5v,200-250tkm,0.8
Audi,3-5v,250-300tkm,1.25
Audi,6-8v,0-50tkm,1.0
Audi,6-8v,50-100tkm,0.65
Audi,6-8v,100-150tkm,0.68
Audi,6-8v,150-200tkm,0.62
Audi,6-8v,200-250tkm,0.64
Audi,6-8v,250-300tkm,0.53
Audi,yli8v,0-50tkm,1.0
Audi,yli8v,50-100tkm,0.84
Audi,yli8v,100-150tkm,0.26
Audi,yli8v,150-200tkm,0.27
Audi,yli8v,200-250tkm,0.23
Audi,yli8v,250-300tkm,0.21
BMW,0-2v,0-50tkm,1.0
BMW,0-2v,50-100tkm,0.86
BMW,0-2v,100-150tkm,0.75
BMW,0-2v,150-200tkm,0.59
BMW,0-2v,200-250tkm,0.49
BMW,0-2v,250-300tkm,0.46
BMW,3-5v,0-50tkm,1.0
BMW,3-5v,50-100tkm,0.91
BMW,3-5v,100-150tkm,0.9
BMW,3-5v,150-200tkm,0.75
BMW,3-5v,200-250tkm,0.67
BMW,3-5v,250-300tkm,0.66
BMW,6-8v,0-50tkm,1.0
BMW,6-8v,50-100tkm,0.84
BMW,6-8v,100-150tkm,0.86
BMW,6-8v,150-200tkm,0.81
BMW,6-8v,200-250tkm,0.68
BMW,6-8v,250-300tkm,0.69
BMW,yli8v,0-50tkm,1.0
BMW,yli8v,50-100tkm,0.51
BMW,yli8v,100-150tkm,0.31
BMW,yli8v,150-200tkm,0.22
BMW,yli8v,200-250tkm,0.21
BMW,yli8v,250-300tkm,0.21
BYD,0-2v,0-50tkm,1.0
Bentley,0-2v,0-50tkm,1.0
Bentley,3-5v,0-50tkm,1.0
Bentley,3-5v,50-100tkm,0.7
Bentley,6-8v,0-50tkm,1.0
Cadillac,6-8v,0-50tkm,1.0
Cadillac,6-8v,100-150tkm,0.52
Chevrolet,yli8v,0-50tkm,1.0
Chevrolet,yli8v,50-100tkm,0.25
Chevrolet,yli8v,100-150tkm,0.14
Chevrolet,yli8v,150-200tkm,0.1
Chevrolet,yli8v,200-250tkm,0.1
Chevrolet,yli8v,250-300tkm,0.17
Citroën,0-2v,0-50tkm,1.0
Citroën,0-2v,50-100tkm,0.8
Citroën,0-2v,100-150tkm,0.76
Citroën,0-2v,150-200tkm,0.64
