Year;E95;E98;RE85;Gas
2002;1,00;1,08;;
2003;1,05;1,13;;
2004;1,08;1,16;;
2005;1,20;1,28;;
2006;1,25;1,33;;0,70
2007;1,29;1,37;;0,75
2008;1,40;1,48;;0,78
2009;1,30;1,38;;0,79
2010;1,35;1,42;1,00;0,80
2011;1,52;1,60;1,05;0,85
2012;1,68;1,77;1,15;0,90
2013;1,67;1,75;1,12;0,95
2014;1,62;1,70;1,10;0,98
2015;1,47;1,55;0,99;1,00
2016;1,44;1,53;0,97;1,05
2017;1,50;1,59;1,02;1,10
2018;1,55;1,64;1,06;1,20
2019;1,57;1,66;1,08;1,30
2020;1,49;1,58;1,01;1,45
2021;1,70;1,79;1,12;1,70
2022;2,05;2,15;1,30;2,20
2023;1,89;1,99;1,20;1,90
2024;1,92;2,02;1,22;1,95
